# =========================================================
#  pro CCD SPEKTROMETR PRINCETON INSTRUMENTS (1340 pixelu)
#                  s mrizkou 1800 vrypu/mm
# =========================================================
#
#  V radku jsou ulozeny pixlove souradnice KALIBRACNICH car,
#  lezi v intervalu zhruba <0,14400>. Dale prislusne vlnove
#  delky a potom kodova jmena car.
#
#  Hodnoty kalibracnich car jsou prevzaty z programu NeokalSpex1
#  Rev.12 od J.Bok z 20.11.2007.
#
# Pixels/px Wavelength/cm^-1 LineName
  10314.0 748.88712 'C48 '
  10476.7 753.57740 'C49 '
  10505.6 754.40441 'C50 '
  11896.2 794.31809 'C52 '
  12383.6 808.24578 'C53 '
  12572.7 813.64058 'C56 '
  13148.8 830.03253 'C59 '
  13421.1 837.76075 'C61 '
  13836.8 849.53594 'C65 '
  14176.4 859.12583 'C69 '
  14330.2 863.46471 'C70 '
  14400.1 865.43829 'C72 '
